,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx
0,8497,3591,67,30,3,2595,36,82,86,95,92913.4375,6487.9890625,-0.3866874873638153,1916863512576.0,847299870720.0
1,8876,3875,511,14,4,7507,44,73,77,94,101317.74375,6235.475,-0.4227561950683594,4435309232128.0,875229609984.0
2,8114,1660,283,27,4,3104,84,40,17,28,119321.55,5121.21640625,-0.5916595458984375,2974679040000.0,911907487744.0
3,8509,507,163,21,7,2780,36,93,41,33,78188.39375,6539.2859375,-0.38393619656562805,2417220911104.0,901045682176.0
4,904,3499,88,180,25,4362,95,86,48,60,69389.5,5162.284375,-0.6113680005073547,767054184448.0,2079920226304.0
5,5545,2173,480,0,4,1319,43,72,73,37,105898.4,6424.790625,-0.4079400897026062,3470990508032.0,806581305344.0
6,1843,3419,2,16,4,4762,45,90,76,89,82451.68125,6534.590234375,-0.4059544503688812,504787107840.0,1002952196096.0
7,1833,3747,2,478,35,7440,94,92,91,89,61509.7375,5062.98203125,-0.6247935891151428,600739741696.0,2692002873344.0
8,2077,3962,5,719,2,4196,90,37,46,65,132098.05,5508.9828125,-0.604321300983429,540234219520.0,1580246237184.0
9,4977,1660,283,20,3,2651,91,47,9,27,110936.1625,5087.43671875,-0.6106928586959839,2412064538624.0,959746539520.0
10,7543,288,125,31,4,4387,23,85,4,2,95761.61875,6996.03515625,-0.31666138768196106,2113123123200.0,665308889088.0
11,1459,3766,69,810,52,2213,99,65,32,57,89531.275,4989.39453125,-0.6408824920654297,687992995840.0,3424689586176.0
12,7433,3677,71,815,4,7386,97,99,64,55,50067.38125,4711.318359375,-0.6489437222480774,1926897860608.0,1887344918528.0
13,174,3750,2,402,30,983,81,92,86,71,68692.3125,5644.625,-0.5353565812110901,76389752832.0,2430951227392.0
14,7347,3621,101,41,4,2322,32,86,33,1,89816.925,6669.99375,-0.3657459616661072,1880792760320.0,734092656640.0
15,6865,420,110,62,3,3341,47,71,51,90,105082.975,6296.521875,-0.41717153787612915,1880138842112.0,906019995648.0
16,8113,1791,259,148,3,7379,91,87,18,13,64802.8125,4907.073046875,-0.6222916841506958,3007577063424.0,1133481033728.0
17,7294,1659,453,93,3,2988,83,80,6,5,76247.6625,5180.2609375,-0.5858319997787476,3698102108160.0,1012070809600.0
18,8624,1945,356,25,4,928,85,39,45,63,119563.2,5084.8984375,-0.5959462523460388,3357839196160.0,973515653120.0
