,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx,seed_number
0,3377,3579,31,149,62,3942,69,43,84,1,185925.6125,95708.76875,-0.6600421071052551,890392281088.0,2844904652800.0,0
1,3162,3474,1363,1880,51,162,97,100,31,14,114476.6875,106913.625,-0.6993932127952576,7534910373888.0,4348568928256.0,0
2,3835,3043,799,538,84,1452,79,51,23,80,165758.425,80945.06875,-0.6728085875511169,4811445501952.0,4046504329216.0,0
3,6712,773,1452,81,17,6954,45,78,95,56,239005.75,156025.9875,0.29128497838974,8856347344896.0,1354553491456.0,0
4,6855,2670,491,158,5,7539,15,3,10,25,274491.65,83557.8125,-0.5706807374954224,3982260961280.0,539524759552.0,0
5,6016,3320,1191,1618,0,2336,67,64,37,42,172397.8,77926.3625,-0.6556063890457153,7230403379200.0,2194104385536.0,0
6,5886,3103,1664,192,8,1866,68,11,75,96,202172.35,62566.025,-0.6561059951782227,9612386369536.0,1131246911488.0,0
7,203,2656,121,788,2,1215,89,54,45,78,225803.275,168503.8,-0.13291020691394806,699181367296.0,1773110820864.0,0
8,5665,3769,979,1428,30,4341,25,22,27,71,244085.625,74028.48125,-0.5893036723136902,6157003390976.0,2631852621824.0,0
9,4107,3580,1248,1370,77,3198,97,84,6,75,117842.375,77283.29375,-0.7033758759498596,7221369896960.0,4715473010688.0,0
10,1302,2685,201,1841,71,6872,44,98,56,8,181387.675,138235.9375,-0.45513689517974854,1506462924800.0,4718381236224.0,0
11,8229,3244,909,19,27,7228,71,37,17,68,173895.5625,66411.525,-0.662989616394043,6350261190656.0,1608685453312.0,0
12,5599,2596,1675,728,30,3930,86,84,45,70,126273.4875,70797.89375,-0.6702744960784912,9694043176960.0,2573436190720.0,0
13,6432,3703,409,929,55,3975,21,85,69,35,187473.925,76465.04375,-0.5831741094589233,3358770331648.0,3144073347072.0,0
14,7421,1059,318,252,22,4501,69,19,96,7,244883.525,140180.3625,0.13184557855129242,3084204113920.0,1555072679936.0,0
15,5531,2156,18,805,56,4224,11,63,67,45,228944.9,90327.1,-0.37827757000923157,1209088081920.0,2971238400000.0,0
16,7163,3930,147,1213,79,5598,45,23,95,64,215708.25,64607.625,-0.6222851872444153,2203789819904.0,4149039071232.0,0
17,3268,3980,785,639,13,6385,48,13,49,17,236069.6,95086.675,-0.6269019842147827,4821017427968.0,1462720135168.0,0
18,8509,2842,1956,1616,55,5068,80,47,42,55,156390.5,66307.675,-0.677726149559021,11680847233024.0,3959138287616.0,0
19,6913,2875,863,1418,54,4659,93,74,50,36,125580.3625,72289.025,-0.6983718872070312,5791935365120.0,3895912824832.0,0
20,8516,3671,1407,633,63,2960,95,4,75,30,170720.4625,67777.7125,-0.69959557056427,8794286325760.0,3318430040064.0,0
21,5769,1765,83,1983,3,4136,22,56,81,56,235216.275,100417.6625,-0.18900378048419952,1580108611584.0,2340517314560.0,0
22,6886,2230,797,625,10,5598,70,54,98,25,169081.675,78373.025,-0.5187761783599854,5483570135040.0,1620402765824.0,0
23,7248,2110,1778,167,11,4696,47,86,97,68,166565.175,73990.45625,-0.4300636053085327,10536402026496.0,1271127212032.0,0
24,5284,3296,224,1869,72,1883,96,64,43,29,133528.975,81163.4,-0.7004650831222534,2135410606080.0,4863873253376.0,0
25,2917,3399,1002,1371,67,4062,100,66,67,47,133323.275,86286.20625,-0.7094317674636841,5786213810176.0,4371881394176.0,0
26,6891,857,293,1125,14,2932,53,62,19,57,240568.5,156294.2,0.2643483281135559,2806704766976.0,2119441448960.0,0
27,3201,1403,1516,35,5,7574,61,27,46,13,272616.2,180280.0,-0.010431832633912563,8595449577472.0,821552218112.0,0
28,7499,3548,1686,146,78,246,78,51,28,81,157790.7,67229.9375,-0.6690908074378967,9946720632832.0,3463884832768.0,0
29,4423,3738,116,1264,10,7177,67,78,50,44,151909.2,80250.55,-0.6574699282646179,1625692831744.0,2245359828992.0,0
30,548,2853,879,658,1,7675,76,60,99,55,213426.0,133394.625,-0.4046318829059601,4875859525632.0,1564229107712.0,0
31,6840,3562,1942,121,2,1731,92,85,14,30,121231.475,78203.25,-0.6931906342506409,11196893757440.0,1112270831616.0,1
32,6837,442,28,873,30,1984,21,77,93,92,285710.675,178302.6125,0.48918139934539795,1405921394688.0,2364670476288.0,1
33,6412,3357,1021,480,39,3460,59,24,7,57,201940.975,74945.83125,-0.6427825093269348,6469942509568.0,2277481119744.0,1
34,7290,2572,531,21,20,5872,35,34,74,49,219001.975,70926.2875,-0.5809120535850525,4201974071296.0,1176688525312.0,1
35,4107,3297,1232,579,32,5719,98,92,67,42,111790.8375,80170.99375,-0.706835925579071,7231415779328.0,2595820404736.0,1
36,1596,3901,903,1123,17,3153,46,98,33,58,161739.8875,98019.79375,-0.622244656085968,5016214044672.0,2354697469952.0,1
37,7040,1759,237,813,1,586,47,79,34,57,198274.125,111276.975,-0.07618855684995651,2460340453376.0,1467848851456.0,1
38,5254,1702,979,19,4,3697,20,56,15,0,248176.6,131985.5,-0.1102244183421135,6061962559488.0,563245875200.0,1
39,1672,2495,593,1207,44,5938,85,82,19,88,149074.2375,103811.5125,-0.5381088256835938,3543840325632.0,3536212459520.0,1
40,7553,2187,40,559,72,3407,90,75,98,7,133383.6625,80651.89375,-0.5266698002815247,1643913412608.0,3697057202176.0,1
41,417,2946,371,312,15,995,22,21,37,12,319389.55,181113.8625,-0.2068670094013214,2008408784896.0,1136716414976.0,1
42,647,1998,24,3,10,7483,68,91,68,45,224825.825,183221.275,0.010977775789797306,508489596928.0,1330405834752.0,1
43,8349,3939,16,1931,35,2199,62,45,71,53,177798.05,66559.0,-0.6462230086326599,1615533309952.0,3494666829824.0,1
44,7466,2115,82,1668,8,6297,60,14,94,11,214965.275,84032.31875,-0.4593994915485382,1949235675136.0,2262343876608.0,1
45,8184,3058,1400,425,82,4891,34,92,94,68,165528.525,63472.40625,-0.6048349738121033,8771094970368.0,3701454667776.0,1
46,6493,3316,703,765,12,5604,81,35,16,37,168109.45,76402.6,-0.6791716814041138,4934095339520.0,1791396151296.0,1
47,2346,3764,875,154,0,6286,56,53,37,47,211123.175,96205.5125,-0.6406210064888,5117705715712.0,876972998656.0,1
48,4390,3633,4,217,87,1486,91,90,32,99,118662.075,70162.2125,-0.6914322972297668,838900383744.0,4060932210688.0,1
49,5950,3273,180,520,53,4707,18,18,98,62,255151.6,70024.45625,-0.5794314742088318,2129087561728.0,2552465195008.0,1
50,4872,3251,580,1387,55,6980,100,46,37,26,143092.45,82731.24375,-0.7101457715034485,4072348319744.0,3867335720960.0,1
51,4400,3962,639,734,33,5404,69,21,72,82,195679.0875,68185.5625,-0.660295307636261,4234769596416.0,2422751887360.0,1
52,8012,3298,1618,460,56,302,89,48,44,96,146933.875,61089.31875,-0.6868149638175964,9689905496064.0,3103390695424.0,1
53,3186,3174,1444,652,16,712,79,58,97,45,164058.9,88978.56875,-0.6724494695663452,7973873123328.0,1972021755904.0,1
54,7025,2766,308,1940,62,2129,98,87,34,14,112895.925,78992.675,-0.7037709951400757,2877538435072.0,4638298865664.0,1
55,609,961,73,198,98,245,17,66,11,9,391454.75,342858.2,0.5756564736366272,488712372224.0,4007907819520.0,1
56,7776,2648,1618,190,58,7303,96,23,66,56,156551.875,64584.10625,-0.7026056051254272,9904219750400.0,2862599372800.0,1
57,8726,2606,1857,847,100,3440,73,48,87,87,162007.45,57509.65,-0.6569401025772095,11152350248960.0,4747202396160.0,1
58,3037,3169,888,454,29,3067,88,68,59,62,143924.15,84161.69375,-0.6897283792495728,5187125116928.0,2304894828544.0,1
59,7198,3320,1432,275,26,4398,67,43,30,17,177005.2375,78458.6375,-0.6564263105392456,8745307340800.0,1738708877312.0,1
60,6776,1046,121,1461,9,7130,12,21,25,71,314069.375,142726.85,0.23601040244102478,2059188436992.0,1901021102080.0,1
61,1372,2702,526,1032,18,6101,11,80,16,36,230983.9,133217.6875,-0.4098769724369049,3154522669056.0,2027115511808.0,1
62,2339,3818,170,1892,82,6219,100,31,40,97,160392.7125,75400.325,-0.7099356055259705,1504442318848.0,5244415115264.0,1
63,7318,3293,1526,322,1,7552,42,57,35,21,198392.4375,79205.6375,-0.6176228523254395,9362534825984.0,887999627264.0,2
64,6872,3946,1872,152,3,421,68,11,8,99,201347.225,66489.61875,-0.6532098650932312,10796275859456.0,905365422080.0,2
65,4148,2933,782,568,1,7293,48,94,14,26,164896.225,96232.525,-0.6267699599266052,4991972016128.0,1285710413824.0,2
66,8734,2683,1664,18,29,3999,57,46,62,95,180842.2875,58658.075,-0.6404399275779724,10185978413056.0,1669453840384.0,2
67,4370,3426,573,350,54,6460,74,58,34,93,160464.475,70021.55,-0.6684128046035767,3930149879808.0,2907564670976.0,2
68,6583,2711,1208,1603,7,4814,11,38,77,30,244163.225,78095.4375,-0.568199872970581,7506543771648.0,1978316357632.0,2
69,650,2747,219,95,41,4390,93,40,71,49,201502.9125,138313.4125,-0.4186987280845642,1394579341312.0,2367350112256.0,2
70,3813,673,485,157,27,4009,60,91,83,61,251084.575,207452.1875,0.31365445256233215,3293215457280.0,1954615787520.0,2
71,2075,3122,14,57,49,91,96,94,19,68,124650.15,110220.25,-0.6927247643470764,436215676928.0,2809854951424.0,2
72,219,3365,497,1149,14,4184,77,20,76,79,232573.15,119441.275,-0.4438156485557556,2735395831808.0,2262321070080.0,2
73,2748,3983,1038,979,35,7113,96,72,4,95,130417.025,77539.64375,-0.7032877802848816,6052414226432.0,3023192195072.0,2
74,8745,3614,568,892,63,3227,45,96,47,80,151426.875,63310.08125,-0.620056688785553,4548210982912.0,3561812131840.0,2
